New England Whalers,Station7,Inferno,12,16,2,5243,2340461
Rugratz,Bad News Bears,Inferno,7,16,2,5151,2340453
Rugratz,Bad News Bears,Vertigo,8,16,2,5151,2340453
Singularity,Endpoint,Overpass,13,16,2,5247,2340456
Singularity,Endpoint,Vertigo,11,16,2,5247,2340456
Espada,Tricked,Dust2,16,10,1,5247,2340455
Espada,Tricked,Nuke,16,10,1,5247,2340455
fnatic,BIG,Mirage,12,16,2,5226,2340397
Sprout,Movistar Riders,Mirage,16,10,1,5150,2340447
Rooster,Skyfire,Inferno,16,13,1,5236,2340444
Rooster,Skyfire,Overpass,16,1,1,5236,2340444
Paradox,Airborne,Nuke,19,16,1,5236,2340443
Paradox,Airborne,Mirage,9,16,2,5236,2340443
Paradox,Airborne,Inferno,10,16,2,5236,2340443
Alcoholics Anonymous,Station7,Mirage,5,16,2,5243,2340131
New England Whalers,District 7,Nuke,16,7,1,5243,2340130
AGO,HellRaisers,Train,16,5,1,5150,2340449
AGO,HellRaisers,Inferno,16,5,1,5150,2340449
Sprout,Movistar Riders,Inferno,16,7,1,5150,2340447
fnatic,BIG,Overpass,16,7,1,5226,2340397
Natus Vincere,North,Nuke,10,16,2,5226,2340396
Natus Vincere,North,Dust2,10,16,2,5226,2340396
forZe,Complexity,Train,9,16,2,5226,2340279
forZe,Complexity,Mirage,19,17,1,5226,2340279
fnatic,BIG,Inferno,7,16,2,5226,2340397
forZe,Complexity,Dust2,16,9,1,5226,2340279
pro100,Japaleno,Inferno,8,16,2,5150,2340448
pro100,Japaleno,Dust2,14,16,2,5150,2340448
GamerLegion,Nordavind,Vertigo,16,9,1,5150,2340450
GamerLegion,Nordavind,Mirage,9,16,2,5150,2340450
GamerLegion,Nordavind,Nuke,14,16,2,5150,2340450
District 7,Bad News Bears,Vertigo,7,16,2,5151,2340320
Thunder Logic,TeamOne,Mirage,5,16,2,5151,2340426
Bad News Bears,Station7,Inferno,16,8,1,5151,2340315
Rugratz,New England Whalers,Mirage,16,10,1,5151,2340046
Recon 5,Oceanus,Nuke,16,5,1,5151,2340317
Chaos,In The Lab,Dust2,16,1,1,5151,2340427
Infinity,Thunder Logic,Dust2,16,14,1,5151,2340319
District 7,Rugratz,Mirage,9,16,2,5151,2340318
Under 21,TeamOne,Nuke,12,16,2,5151,2340322
Chaos,Monstars,Inferno,16,12,1,5151,2339553
Thunder Logic,New England Whalers,Nuke,16,13,1,5151,2340323
Singularity,Espada,Nuke,16,11,1,5247,2340328
Vitality,GODSENT,Vertigo,16,14,1,5226,2340063
Vitality,GODSENT,Nuke,16,8,1,5226,2340063
Astralis,NiP,Overpass,8,16,2,5226,2340065
Thunder Logic,Under 21,Nuke,11,16,2,5151,2340428
Astralis,NiP,Vertigo,6,16,2,5226,2340065
